audio_file_name,Submitted Audio Link,Question,Human Transcription,It's,locked.,I,can,open,it.,Notes
grade1_profile28382_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1MMNldvn1dou4r_wDd_qq3qB-0Zot5d5v/view?usp=drivesdk,It's locked. I can open it. ,Is flock i can openly,0,0,2,2,0,0,
grade1_profile28510_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/12zZ1dnZwtJvUfoG_k5YJWLpso-8nbVsL/view?usp=drivesdk,It's locked. I can open it. ,It lock haena locked i can open it,0,2,2,2,2,2,
grade1_profile30490_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1UeDMCONSW2pNMqNi2cRs3IuH_QvbHRRv/view?usp=drivesdk,It's locked. I can open it. ,Its looked i can open it,2,0,2,2,2,2,
grade1_profile28352_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1hDnceY2Ly37caIahTZsa2qMaWLxRfK0Z/view?usp=drivesdk,It's locked. I can open it. ,It its laad i can open it,2,0,2,2,2,2,
grade1_profile30569_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1mkeXHiprRwe6EAAZ0aUOtOdcydZgH6GT/view?usp=drivesdk,It's locked. I can open it. ,Its logit i can open,2,0,2,2,2,0,
grade1_profile28519_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1RY60i8XHIX_OZVpauyaQOj48zUue6bix/view?usp=drivesdk,It's locked. I can open it. ,Its lock duh we khan open it,2,1,0,1,2,2,
grade1_profile28401_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1_gsWLr3Ah9Zl7p65VKuRgyOBpvxQWAid/view?usp=drivesdk,It's locked. I can open it. ,Its lowked i can open it,2,1,2,2,2,2,
grade1_profile30822_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1iZWtpcm8qR4bwLwa0XAoiKtgsx3pWLZR/view?usp=drivesdk,It's locked. I can open it. ,Its locked i can awpen it ,,,,,,,Parent
grade1_profile28423_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1TfSBrL4uT-B4qbWiM7LVLt_H6e_YKuo4/view?usp=drivesdk,It's locked. I can open it. ,Its locked i can open it,2,2,2,2,2,2,
grade1_profile28385_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1ZveNOa2GnPn4lR2OFiNXQBEU-Xir_rqL/view?usp=drivesdk,It's locked. I can open it. ,Yes,0,0,0,0,0,0,
grade1_profile30496_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1qFOm4SLT9gX4CsYS4XMBjNcn1rQANhbn/view?usp=drivesdk,It's locked. I can open it. ,Its logged i can awpen it,,,,,,,Parent
grade1_profile28392_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1Xz-wS2AMrNUdcK_B4-KgUABXnttla0mM/view?usp=drivesdk,It's locked. I can open it. ,Come on you can do it together,0,0,0,0,0,0,Parent assisting
grade1_profile28391_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1vuu3OIBGEpthIyj8QkJMWWdFOAh-JLwW/view?usp=drivesdk,It's locked. I can open it. ,I can open it mumma,0,0,2,2,2,2,
grade1_profile30626_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/123AeV1YSjnQjaJ25m8cm9RuAZcNA5lfW/view?usp=drivesdk,It's locked. I can open it. ,Its locked i can open eat,2,2,2,2,2,1,
grade1_profile28352_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1p9yFaeUuLIm2zsMuP8ao5o3BSOlPImjw/view?usp=drivesdk,It's locked. I can open it. ,Its lot i can open it,2,0,2,2,2,2,
grade1_profile28463_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1nuYNbDfUjytcOx4dYG32f53abXNEZdJh/view?usp=drivesdk,It's locked. I can open it. ,It look i can open it,0,0,2,2,2,2,
grade1_profile28457_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1fjnNjIVjG_4EqSKovm9FMSx6qVtws6bm/view?usp=drivesdk,It's locked. I can open it. ,Its locked i can open it,,,,,,,Parent
