audio_file_name,Submitted Audio Link,Question,Tab,Human Transcription,,
grade1_profile30684_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/141BiF63cIARV3dXXY-V9dY4HzcOVAs7Y/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come oven. We can do it too gether.,,
grade1_profile28450_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1ioNp1XwGkALYhheVpFLfYcuuCStoaHnO/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together. ,C-home,
grade1_profile28349_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1WO0niOtbLZwuese6zmAfQ2W1kG3SLUFq/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do eat two gether.,,
grade1_profile28518_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1L6DNOcGk2LAZPdYs5OtoYWAu2_N7vrZw/view?usp=drivesdk,It's locked. I can open it.,Q2,It's lock. I can open it.,,
grade1_profile30822_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1nn3M-SCQCKpveJTvMgfz_TrsuTEUkGRL/view?usp=drivesdk,It's locked. I can open it.,Q2,"It's locked. I can open it, ",,
grade1_profile30589_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1lmXLGoaIDdTi1aetsdeCA2XIqW7I61Xf/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it.,awpen,
grade1_profile31206_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1urJ0_BzRzliP7KQ42ZZ7-t9Ek06bFysa/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it.,c-han h-open,
grade1_profile31293_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1eIDsGDT--GLq2uZ8ff6KDNgNs8S_Aygt/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it. ,awpen,
grade1_profile30467_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/10MbBHUzM4HNnr2rZDrRRAuUZxBUrvejF/view?usp=drivesdk,It's locked. I can open it.,Q2,It's logged. I can open it. ,,
grade1_profile28401_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/13b2c1VK30VboZWetLVgbeS8oqcwFKIeR/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,Fayez,
grade1_profile28466_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1WCP6eFISf4VFsu99hDeZ73nOZfKWboxl/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,These is Zara. She loves to draw. This is Faiz. He loves to lid things.,,
grade1_profile30490_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1naPGkkNU_uwLsjShMzDFMMja3wrqhhfW/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw. This is Faiza Faiz. He love to build things. ,draa builduh - assisted by parent,
grade1_profile28446_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1sV1Giq4LPZkFd2LuC2FVy1dM_cN7p6AO/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He loves to build built thin. ,audio cut at the end,
grade1_profile30467_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1SsQpL_gJ4BuXuhQ-knm_xvu3rghHGqre/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,,
grade1_profile30482_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1c40bIILzFN1TX0CMM-9V8txZCnZq94oY/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,These is Faiz. He love to built thing.,built-uh - assisted by parent,
grade1_profile28441_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1MDaQyUbh92dBZPXyR9yMjILw_ei0sX7a/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He love to build thing. ,draa,
grade1_profile30544_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/18mKBijQsY-uQzZr-slM5x72EcmZuLx2w/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw. This is Faiz. He love to build thing. ,,
grade1_profile28355_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1BeUcSDW0OKR-NjDCpzmXlTqoD9JenzzA/view?usp=drivesdk,Come on. We can do it  together.,Q1,On. We can do it gather.,,
grade1_profile28432_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1ixqJBjLrC3Shf_tlgQtAquzISR08Q_So/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together.,,
grade1_profile28514_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1q4jft3Czh9c1qsfRk22lQtF_11ekXWQ9/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do eat together. ,,
grade1_profile28391_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1bkXikx0O2w2j_yhlWZI1AJyJVe23uFHg/view?usp=drivesdk,Come on. We can do it  together.,Q1,We can do it do it to gather.,assisted by parent,
grade1_profile30626_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1qApDU3uZpnyRo2DgNThjoz3FWybvahei/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it. ,,
grade1_profile31184_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1SPJzlmVs7Dkd2B4zrEfYFj7sNaFxcMXL/view?usp=drivesdk,It's locked. I can open it.,Q2,It's logged. I can open it.,,
grade1_profile30569_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1l_242jcNQCS_4RwpF8gBWoNUTQPv_uQO/view?usp=drivesdk,It's locked. I can open it.,Q2,Its lock. I can open it. ,,
grade1_profile28355_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1MFHaKZDOtKkgVokaGt247fzut9N9FOeb/view?usp=drivesdk,It's locked. I can open it.,Q2,Its lock. Eye can open it.,,
grade1_profile28369_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1mWGhYidrOqA-SYv9KytXyG-4xMGUsAQD/view?usp=drivesdk,It's locked. I can open it.,Q2,It is uh. ,,
grade1_profile28347_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1R_O9wgKnngavQWktdDFbGDIp4pVr7qHO/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it.,,
grade1_profile28399_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/13ksQdwTDrobERYL5PC6Q3SKgT8hdXSuk/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it.,awpen - recorded by parent,
grade1_profile28470_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1n2RuLOBvPbHVgPpvKCvmcfYlHMvwowoB/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. Loves she love to drawing. This is Faiz. He love two buldings build things. ,assisted by parent,
grade1_profile28390_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1xsQdlGPwT28MgNTdBJGKfPEZrS-Y6JyY/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He love to buld buld things. ,draa BULD,
grade1_profile28510_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1S1zMQjFB7ibAgViizu6QAZxeSdhvFn4u/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw. This is Faiz. He loved to build things.,,
grade1_profile28463_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1QOXuJtANOZPV6XhXTYmDxapenlY0Bqox/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw. Is this is Faiz. He love to building build thing build things.,build-uh - assisted by parent,
grade1_profile30665_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1Dwd2kRY3FlkBjIhJnextJkq2URJzOOmd/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He loves to build things. ,draa,
grade1_profile31192_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1BSnCceCRB5dbHtH82wV2g-j9rmJiRiG7/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw. This is Fair. He love to buildings.,,
grade1_profile28395_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1IVjqK2xpbLiOFx6KbbOlGpISUTUGGqhm/view?usp=drivesdk,Come on. We can do it  together.,Q1,We can. ,,
grade1_profile30840_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1bj-SVJc9KhohuUzuR7JtA2IhhRzBtGrL/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it together. ,,
grade1_profile31205_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1gmr2dsJuWbJt7YNOvx8J0I9LK3UuGyXa/view?usp=drivesdk,Come on. We can do it  together.,Q1,Com on. We can do it together. ,,
grade1_profile28347_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/10bluEPkKgnUPMC5qeIjt60mpGMUNnYkg/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it togeth. ,cut at the end,
grade1_profile31361_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1guXXdEQX0ohY5VCju7Xkh1al2DOhWRQN/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on. We can do it to gather. ,,
grade1_profile28364_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1I57jLMO3LqtUQMwemcLQxRTbiHT71y1r/view?usp=drivesdk,It's locked. I can open it.,Q2,,noise,
grade1_profile28471_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1D4KLnI4TonUOKgcwe48AdtQmMNQ_eeYe/view?usp=drivesdk,It's locked. I can open it.,Q2,It's locked. I can open it. ,,
grade1_profile28473_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1OE6nwBQaki5x3tyZSdtuyXgZ8zSebxsq/view?usp=drivesdk,It's locked. I can open it.,Q2,It Its lock. I can open open it.,,
grade1_profile28512_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1U1rHNNCZNiNWlpJ-BxAw9z2rjI9EYV0x/view?usp=drivesdk,It's locked. I can open it.,Q2,Its lockid. I can open it.,lockid awpen,
grade1_profile28463_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1bDWLF6AtSBbk7Rt0gqS3Ra303Ws7_yC0/view?usp=drivesdk,It's locked. I can open it.,Q2,Is lock. I can open did.,low-k ,
grade1_profile28451_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1PHU3Sb2h_2GD7M9XJsiKyqqkg9hC69q5/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw things. This is Faiz. He love to build things.,,
grade1_profile30630_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1zCc7aKmASa5UqsDNQkTymaVUyoUIrHxk/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He love to build things.,assisted by parent,
grade1_profile28512_q3_QK_20251122_101834.mp3,https://drive.google.com/file/d/1Y2j-fT2_xjqgAaszadQFX2_un0Wyyn_L/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz. He loves to buld things.,buld - recorded by parent,
grade1_profile28429_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1PqP1Pwsp7UkyKL7vGwUtK6MR8tlD5q2J/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is mmm Faiz. He loves to bib build things.,draa,
grade1_profile31203_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1h5suxHs0TvL3Yj2Pedp6ONpeFXhGWnYp/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She loves to draw. This is Faiz Fay Faiz. He loves to build things.,,
grade1_profile31361_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/1UNh4eVwZAmcl6r2sP5cQdjj4ABhmN56f/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. She love to draw. This is Faiz. He love to build things.,,
grade1_profile30506_q3_LP_20251122_101304.mp3,https://drive.google.com/file/d/12jp3oSOwdqhbS8wCDUnzJlIIJSVDmW83/view?usp=drivesdk,This is Zara. She loves to draw. This is Faiz. He loves to build things.,Q3,This is Zara. He love to draw. Is is this is Faiz. Is he love to mil build things.,assisted by parent,
grade1_profile28428_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/19naHFn_ynlmk_HbLFgO__G5O1bCwNChD/view?usp=drivesdk,Come on. We can do it  together.,Q1,,noise,"parent convincing kid that no one can listen to this - interesting, maybe her kid was feeling shy"
grade1_profile31184_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1etg_QsXqtYE_sc4PLdp0-UKWEh24Pk1V/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it to gather,,
grade1_profile28382_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1DQrWQUHj1WFXIl07XfTEzgWVAhkzwWJF/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can to eat together,,
grade1_profile28376_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1EM4CNlgxnOL_CCPbEXMb93gGxqrVGCoA/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it to gather,,
grade1_profile30630_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1_P3egLc_8tab7-Asjm9QbixfTIuaGbrI/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it to gather,,
grade1_profile28468_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1Uaz4ZZpZ1e78Q79Zzh7N8LgRjANwevu0/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can't gather,,
grade1_profile30581_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1dDBXUxsJrtbUrcp7Q7SHPbGDebQDJtfQ/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it together,,
grade1_profile28498_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1bwTbFSzlPDdWo7hWx83eTqjhHuhiYAx0/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it to get,,
grade1_profile30482_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1jbnW4msNynwC_ev-5Ssnm9LPz4xHrn72/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we cant do eat together,,
grade1_profile28347_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1QezCwG0JYzdMrK6Rb0Kk87-mP4cWosbq/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come own we can do it together,,
grade1_profile28392_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/18wryoBuUjIeBdyRkrPYh8hZtOwhZuyA4/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on you can do it,,
grade1_profile30575_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1sByTJAJ7EKVXMecGPHWiDB_-ENAJC356/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come own we can do it to gather,,
grade1_profile28443_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1S7rvRIEal6sBaatoaJer2YMm0y5pruGG/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it together,,
grade1_profile30476_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1U15OsCTiGS6twXkOKKN-XOHJcj2qpRFs/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come own we can do it to gather,,
grade1_profile28465_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1wgNLwdBci8DwPyKXV1wJLsiZzM2wCdg7/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it together,,
grade1_profile28344_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1zZCJwtfXzsQr-yYVnBM7g32m4jXckAhE/view?usp=drivesdk,Come on. We can do it  together.,Q1,We can do it to get,,
grade1_profile28389_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1zovUWa0ILV7yXIcGoMkRE6MRt_j7wIat/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do eat to gather,,
grade1_profile31293_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1QDjdgZMdlVJysJaV-nSHx4ZdZ8Ma5Woq/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it together,,
grade1_profile30569_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1OIfzQdxJWi5rXPcFmnb2FmsnEz8rqYq2/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do eat to gather,,
grade1_profile28465_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1_dR5UQgz84V4VqCQugrB75cAqa02Si62/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it to get,,
grade1_profile28518_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1fGNLCkWf29Qbk15NzOOyTdWenm9bnqM_/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can two do it together,,
grade1_profile30485_q1_LP_20251122_095026.mp3,https://drive.google.com/file/d/1GsTK7LCSRVs5Aai_SNJOkMNN_GbjOtDx/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we cant to eat do gather,,
grade1_profile30481_q1_QK_20251122_095622.mp3,https://drive.google.com/file/d/1HkN06tbV8mzZbJ7QqmULw8B46zEvqsfM/view?usp=drivesdk,Come on. We can do it  together.,Q1,Come on we can do it together,,
grade1_profile31192_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1ZvG0V7S1VqC2ZHUu7nsbgrP2kW2IDzRL/view?usp=drivesdk,It's locked. I can open it.,Q2,Is lock I can awpen ick,,
grade1_profile28371_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1TWbXE9cbhk-hUG1FdACz1grtY5pXJbR4/view?usp=drivesdk,It's locked. I can open it.,Q2,Its loo kid eye can topen i eat,,
grade1_profile28390_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1_vnqtUSjmr3mfSHQ9r2r4b5e46FC9W75/view?usp=drivesdk,It's locked. I can open it.,Q2,Its locked i can awpen it,,
grade1_profile28428_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/15Sywz3VG7aWEVwWvlTk67QXNXm_20P0k/view?usp=drivesdk,It's locked. I can open it.,Q2,Its locked i can awpen it,,
grade1_profile28443_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/11faSqDjUJZLdecbtdk6hByud8BknQPiF/view?usp=drivesdk,It's locked. I can open it.,Q2,Its locked i can open it,,
grade1_profile30472_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1QvSKkTeKdD6eIkwlL_zTiL_lOs4-AfRM/view?usp=drivesdk,It's locked. I can open it.,Q2,Its its looked i can pick it ,,
grade1_profile28399_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1Fhc2x3S7o0UmEf1MLjzHP9OrzQiJ_28D/view?usp=drivesdk,It's locked. I can open it.,Q2,Its lock i can open,,
grade1_profile28428_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1j7mFHSl5nx6h95BcSRpU5vMTEH6McR4t/view?usp=drivesdk,It's locked. I can open it.,Q2,Its locked i can open it,,
grade1_profile28369_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1K9UCX8yv_s-blrTbV4--vDYCACPE10Yt/view?usp=drivesdk,It's locked. I can open it.,Q2,Its lock i can open it,,
grade1_profile30586_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1p-EL9SsY61VKmedUukqKrPkPdkEpf9Id/view?usp=drivesdk,It's locked. I can open it.,Q2,Its locked its locked i can open it i can open it,,
grade1_profile28382_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1MMNldvn1dou4r_wDd_qq3qB-0Zot5d5v/view?usp=drivesdk,It's locked. I can open it.,Q2,Is flock i can openly,,
grade1_profile28510_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/12zZ1dnZwtJvUfoG_k5YJWLpso-8nbVsL/view?usp=drivesdk,It's locked. I can open it.,Q2,It lock haena locked i can open it,,
grade1_profile30490_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1UeDMCONSW2pNMqNi2cRs3IuH_QvbHRRv/view?usp=drivesdk,It's locked. I can open it.,Q2,Its looked i can open it,,
grade1_profile28352_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1hDnceY2Ly37caIahTZsa2qMaWLxRfK0Z/view?usp=drivesdk,It's locked. I can open it.,Q2,It its laad i can open it,,
grade1_profile30569_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1mkeXHiprRwe6EAAZ0aUOtOdcydZgH6GT/view?usp=drivesdk,It's locked. I can open it.,Q2,Its logit i can open,,
grade1_profile28519_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1RY60i8XHIX_OZVpauyaQOj48zUue6bix/view?usp=drivesdk,It's locked. I can open it.,Q2,Its lock duh we khan open it,,
grade1_profile28401_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1_gsWLr3Ah9Zl7p65VKuRgyOBpvxQWAid/view?usp=drivesdk,It's locked. I can open it.,Q2,Its lowked i can open it,,
grade1_profile30822_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1iZWtpcm8qR4bwLwa0XAoiKtgsx3pWLZR/view?usp=drivesdk,It's locked. I can open it.,Q2,Its locked i can awpen it ,,
grade1_profile28423_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1TfSBrL4uT-B4qbWiM7LVLt_H6e_YKuo4/view?usp=drivesdk,It's locked. I can open it.,Q2,Its locked i can open it,,
grade1_profile28385_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1ZveNOa2GnPn4lR2OFiNXQBEU-Xir_rqL/view?usp=drivesdk,It's locked. I can open it.,Q2,Yes,,
grade1_profile30496_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/1qFOm4SLT9gX4CsYS4XMBjNcn1rQANhbn/view?usp=drivesdk,It's locked. I can open it.,Q2,Its logged i can awpen it,,
grade1_profile28392_q2_LP_20251122_100201.mp3,https://drive.google.com/file/d/1Xz-wS2AMrNUdcK_B4-KgUABXnttla0mM/view?usp=drivesdk,It's locked. I can open it.,Q2,Come on you can do it together,,
grade1_profile30626_q2_QK_20251122_100724.mp3,https://drive.google.com/file/d/123AeV1YSjnQjaJ25m8cm9RuAZcNA5lfW/view?usp=drivesdk,It's locked. I can open it.,Q2,Its locked i can open eat,,
